;0;1;2
0;s;4;0.24000000000000002
1;s;8;0.23
2;s;16;0.24000000000000002
3;s;32;0.265
4;s;64;0.34
5;s;128;0.51
6;s;256;1.1500000000000001
7;s;512;6.025
8;c1;4;0.24500000000000002
9;c1;8;0.28
10;c1;16;0.35500000000000004
11;c1;32;0.5700000000000001
12;c1;64;1.4600000000000002
13;c1;128;3.7150000000000003
14;c1;256;12.350000000000001
15;c1;512;52.470000000000006
16;c2;4;0.23500000000000001
17;c2;8;0.24000000000000002
18;c2;16;0.25
19;c2;32;0.29000000000000004
20;c2;64;0.545
21;c2;128;1.085
22;c2;256;3.7500000000000004
23;c2;512;9.755
24;c3;4;0.23
25;c3;8;0.24000000000000002
26;c3;16;0.25
27;c3;32;0.29000000000000004
28;c3;64;0.5900000000000001
29;c3;128;0.795
30;c3;256;1.79
31;c3;512;7.510000000000001
